PID,cyear,IBIRTHY,AGE,Sex,Education,SpouseAge,SpouseEducation,MeetWay,MarryLast,Cohabitation,FirstMarry,Marriage,Jiazhuang,Marriage_stf,Economy_contrb_stf,Housework_contrb_stf,Job_code,Income_month,Income,Life_stf,General_stf
220292101,2018,1972,46,0,3,-8,-8,-8,-8,-8,-8,2,-8,4,4,5,-8,0,0,5,4.33
220292102,2018,1967,51,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
220294101,2018,1952,66,0,0,-8,-8,-8,-8,-8,-8,2,-8,1,5,4,-8,0,0,4,3.33
220294102,2018,1955,63,1,0,-8,-8,-8,-8,-8,-8,2,-8,5,4,5,-8,0,0,4,4.67
220296102,2018,1956,62,1,4,62,4,6,38,5,-8,2,-8,5,5,5,-8,0,0,5,5.0
220300101,2018,1969,49,0,3,-8,-8,-8,-8,-8,-8,2,-8,5,3,2,-8,0,0,2,3.33
220300102,2018,1969,49,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,4,4,-8,0,0,5,4.33
220301101,2018,1970,48,0,4,-8,-8,-8,-8,-8,-8,2,-8,4,1,3,14,3800,45600,4,2.67
220301102,2018,1970,48,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,3,600,40000,4,5.0
220301103,2018,1993,25,0,5,24,5,5,1,5,-8,2,200000,5,4,3,-8,0,0,4,4.0
220305101,2018,1956,62,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,4,9,0,0,5,4.67
220305102,2018,1955,63,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,3,1400,17800,5,5.0
220305103,2018,1982,36,1,6,35,6,1,4,1,-8,2,-8,5,5,5,8,4000,40000,5,5.0
220305501,2018,1983,35,0,6,36,6,1,4,1,-8,2,-8,5,5,4,10,2000,24000,4,4.67
220306101,2018,1970,48,1,0,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,99,1500,10000,5,5.0
220306102,2018,1978,40,0,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,9,1500,1500,3,5.0
220307101,2018,1973,45,0,4,-8,-8,-8,-8,-8,-8,2,-8,2,2,1,9,0,0,3,1.67
220307102,2018,1970,48,1,5,45,4,6,20,5,-8,2,-8,4,4,4,3,1800,20000,4,4.0
220309101,2018,1972,46,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,3,0,0,4,5.0
220309102,2019,1976,42,0,4,-8,-8,-8,-8,-8,-8,2,-8,3,3,4,16,2000,22000,3,3.33
220317101,2018,1952,66,0,4,-8,-8,-8,-8,-8,-8,2,-8,3,5,3,-8,0,0,4,3.67
220317102,2018,1954,64,1,3,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
220319101,2018,1982,36,0,6,-8,-8,-8,-8,-8,-8,2,-8,4,4,3,3,300,30000,4,3.67
220319102,2018,1980,38,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,12,2500,30000,4,5.0
220320101,2019,1964,54,1,4,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,15000,3,5.0
220320102,2018,1965,53,0,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,8,850,6800,3,5.0
220322101,2018,1964,54,1,5,-8,-8,-8,-8,-8,-8,2,-8,5,5,5,-8,0,0,5,5.0
